Date,Price,Open,High,Low,Vol.,Change %
3/14/2025,3.6453,3.6644,3.6916,3.6396,,-0.45%
3/13/2025,3.6619,3.6399,3.6769,3.6322,,0.68%
3/12/2025,3.6372,3.6532,3.6659,3.6264,,-0.35%
3/11/2025,3.6498,3.6428,3.6628,3.6311,,0.28%
3/10/2025,3.6396,3.6208,3.6551,3.608,,0.59%
3/7/2025,3.6184,3.6104,3.6409,3.6026,,0.20%
3/6/2025,3.6112,3.6148,3.6285,3.5933,,0.10%
3/5/2025,3.6076,3.6327,3.6431,3.5979,,-0.61%
3/4/2025,3.6296,3.6018,3.6516,3.5929,,0.66%
3/3/2025,3.6057,3.5987,3.6144,3.5834,,0.32%
2/28/2025,3.5941,3.5781,3.624,3.5693,,0.48%
2/27/2025,3.5771,3.5559,3.5901,3.5425,,0.63%
2/26/2025,3.5547,3.5818,3.5931,3.547,,-0.70%
2/25/2025,3.5797,3.577,3.6003,3.5631,,0.18%
2/24/2025,3.5731,3.5666,3.5865,3.5583,,0.22%
2/21/2025,3.5654,3.5476,3.579,3.5414,,0.57%
2/20/2025,3.5452,3.5436,3.5584,3.5342,,0.33%
2/19/2025,3.5336,3.551,3.5579,3.5308,,-0.45%
2/18/2025,3.5494,3.5592,3.5755,3.545,,-0.19%
2/17/2025,3.5561,3.5469,3.5665,3.5416,,0.57%
2/14/2025,3.536,3.5651,3.5746,3.5391,,-0.67%
2/13/2025,3.5597,3.5911,3.5975,3.5552,,-0.74%
2/12/2025,3.5861,3.5909,3.6107,3.5751,,-0.18%
2/11/2025,3.5925,3.5785,3.6016,3.563,,0.49%
2/10/2025,3.575,3.5576,3.5973,3.5523,,0.59%
2/7/2025,3.5539,3.5527,3.5701,3.5419,,0.13%
2/6/2025,3.5494,3.5443,3.5693,3.5337,,0.25%
2/5/2025,3.5406,3.5614,3.5777,3.5348,,-0.61%
2/4/2025,3.5625,3.5794,3.5912,3.5546,,-0.36%
2/3/2025,3.5754,3.5768,3.6245,3.5692,,0.06%
1/31/2025,3.5732,3.5809,3.5917,3.5594,,-0.14%
1/30/2025,3.5783,3.6023,3.6141,3.569,,-0.62%
1/29/2025,3.6006,3.6235,3.63,3.5901,,-0.48%
1/28/2025,3.6179,3.6109,3.6323,3.5973,,0.00%
1/27/2025,3.6179,3.5831,3.6347,3.5693,,1.25%
1/24/2025,3.5733,3.5794,3.6004,3.5593,,-0.07%
1/23/2025,3.5757,3.5339,3.5886,3.5272,,1.17%
1/22/2025,3.5343,3.5551,3.5663,3.5258,,-0.50%
1/21/2025,3.552,3.5688,3.5935,3.546,,-0.36%
1/20/2025,3.5647,3.5637,3.5912,3.5581,,0.09%
1/17/2025,3.5616,3.6168,3.6278,3.5554,,-1.43%
1/16/2025,3.6131,3.6106,3.6356,3.6029,,0.17%
1/15/2025,3.607,3.6263,3.6513,3.6019,,-0.46%
1/14/2025,3.6238,3.642,3.6544,3.6173,,-0.08%
1/13/2025,3.6268,3.6841,3.6895,3.6264,,-1.35%
1/10/2025,3.6763,3.6557,3.7016,3.647,,0.56%
1/9/2025,3.656,3.6637,3.6786,3.6463,,-0.05%
1/8/2025,3.6577,3.6486,3.6853,3.6373,,0.28%
1/7/2025,3.6475,3.6326,3.6628,3.6104,,0.52%
1/6/2025,3.6287,3.6495,3.6566,3.6225,,-0.40%
1/3/2025,3.6431,3.6479,3.6685,3.6402,,0.03%
1/2/2025,3.6421,3.6409,3.6636,3.629,,0.10%
1/1/2025,3.6386,3.6405,3.658,3.6331,,0.24%
